,cpi_fah,rdi_adj,home_price,covid1,covid2,grocery_sales,y_fitted,residuals,y_forecast,actual_and_forecast,fitted_and_forecast,grocery_sales_lag1,y_fitted_ar,residuals_ar,y_forecast_ar
2016-01-01,241.558,14121.1,175.021,0,0,51323.0,52148.72719115943,825.7271911594289,,51323.0,52148.72719115943,51053.0,51603.904551437096,280.9045514370955,
2016-02-01,241.741,14135.3,175.267,0,0,51245.0,52221.885484341634,976.8854843416339,,51245.0,52221.885484341634,51323.0,51786.462292244156,541.4622922441558,
2016-03-01,240.414,14135.4,176.59099999999998,0,0,50893.0,52109.20884355435,1216.2088435543483,,50893.0,52109.20884355435,51245.0,51695.38064964248,802.3806496424804,
2016-04-01,240.341,14106.2,178.488,0,0,51494.0,52062.0625162542,568.0625162541983,,51494.0,52062.0625162542,50893.0,51479.306941993666,-14.693058006334468,
2016-05-01,239.348,14095.5,180.337,0,0,51671.0,51967.94338246591,296.9433824659136,,51671.0,51967.94338246591,51494.0,51772.74449767018,101.74449767018086,
2016-06-01,238.763,14104.9,181.907,0,0,51987.0,51976.36081649886,-10.639183501138177,,51987.0,51976.36081649886,51671.0,51876.366178797645,-110.63382120235474,
2016-07-01,238.38,14160.1,183.008,0,0,51685.0,52140.44265322758,455.4426532275829,,51685.0,52140.44265322758,51987.0,52126.99281217404,441.9928121740377,
2016-08-01,238.133,14176.7,183.645,0,0,51926.0,52183.55412244484,257.55412244483887,,51926.0,52183.55412244484,51685.0,51979.605094333005,53.60509433300467,
2016-09-01,237.88,14209.1,183.933,0,0,52284.0,52266.39937842945,-17.600621570549265,,52284.0,52266.39937842945,51926.0,52151.41285155636,-132.58714844364295,
2016-10-01,237.714,14235.4,184.006,0,0,52546.0,52333.52056833153,-212.47943166847108,,52546.0,52333.52056833153,52284.0,52380.7892621151,-165.2107378849032,
2016-11-01,237.438,14273.6,184.217,0,0,52570.0,52430.05009569827,-139.94990430172766,,52570.0,52430.05009569827,52546.0,52570.47315135407,0.47315135406824993,
2016-12-01,237.147,14313.7,184.389,0,0,52953.0,52529.81899391977,-423.1810060802309,,52953.0,52529.81899391977,52570.0,52629.59362008326,-323.40637991674157,
2017-01-01,237.072,14373.7,184.642,0,0,53003.0,52719.96001878077,-283.0399812192336,,53003.0,52719.96001878077,52953.0,52928.33363496865,-74.66636503134941,
2017-02-01,237.824,14416.8,185.01,0,0,53421.0,52953.52105315129,-467.478946848707,,53421.0,52953.52105315129,53003.0,53060.17617688846,-360.82382311153924,
2017-03-01,238.387,14476.3,186.518,0,0,53848.0,53250.55329789971,-597.4467021002929,,53848.0,53250.55329789971,53421.0,53425.56823742041,-422.4317625795884,
2017-04-01,238.568,14509.3,188.531,0,0,53979.0,53434.05783765873,-544.9421623412709,,53979.0,53434.05783765873,53848.0,53745.53416273885,-233.46583726115205,
